user_id,email,phone,first_name,last_name,status,created_at,updated_at,_source_system,_ingested_at
usr_06cb0fb3,  johnsonjoshua@example.org ,218.196.0013,Anna,Baldwin,active,2026-05-01 08:54:58,2026-05-01 08:54:58,auth_db,2026-05-01 08:54:58
usr_d8f56413,lrobinson@example.com,+1-026-542-3511,Maurice,Baker,active,2026-05-01 21:29:57,2026-05-01 21:29:57,auth_db,2026-05-01 21:29:57
usr_146d3f31,  blairamanda@example.com ,(184) 959-3103,Melissa,Delacruz,active,2026-05-01 08:28:15,2026-05-01 08:28:15,auth_db,2026-05-01 08:28:15
usr_451b4cf3,  oramirez@example.com ,(255) 341-9283,Veronica,Bowman,active,2026-05-01 23:39:41,2026-05-01 23:39:41,auth_db,2026-05-01 23:39:41
usr_e27a984d,gabriellecameron@example.org,3056413953,Robin,Ellis,active,2026-05-01 21:27:16,2026-05-01 21:27:16,auth_db,2026-05-01 21:27:16
usr_1c11f735,donald88@example.com,(969) 653-2871,Eric,Moore,active,2026-05-01 15:23:12,2026-05-01 15:23:12,auth_db,2026-05-01 15:23:12
usr_287d06ca,ycarlson@example.com,978.480.1845,Shawn,Mckay,active,2026-05-01 03:43:16,2026-05-01 03:43:16,auth_db,2026-05-01 03:43:16
usr_04fc6d82,  TERESA28@EXAMPLE.ORG ,489.325.2880,Daniel,Cox,active,2026-05-01 21:58:51,2026-05-01 21:58:51,auth_db,2026-05-01 21:58:51
usr_6c52c49f,  john39@example.org ,1718227824,Tamara,Hickman,active,2026-05-01 19:31:24,2026-05-01 19:31:24,auth_db,2026-05-01 19:31:24
usr_96a402f2,JENNIFERROSS@EXAMPLE.NET,+1-578-713-3150,Jeffrey,Jones,active,2026-05-01 20:05:57,2026-05-01 20:05:57,auth_db,2026-05-01 20:05:57
usr_7914c120,perezrebecca@example.com,183.473.8299,Lindsey,Lee,active,2026-05-01 21:01:14,2026-05-01 21:01:14,auth_db,2026-05-01 21:01:14
usr_6c006f61,  HOPKINSMICHAEL@EXAMPLE.COM ,(701) 065-1333,Isaiah,Ford,active,2026-05-01 10:32:10,2026-05-01 10:32:10,auth_db,2026-05-01 10:32:10
usr_e7067ef4,ramosmichelle@example.net,+1-108-013-2677,Brian,Gray,active,2026-05-01 13:50:23,2026-05-01 13:50:23,auth_db,2026-05-01 13:50:23
usr_bf7b539b,ybaker@example.com,468.723.4309,Lee,Williams,active,2026-05-01 05:55:19,2026-05-01 05:55:19,auth_db,2026-05-01 05:55:19
usr_3f07f814,hshaw@example.org,081.219.1361,Beth,Williams,active,2026-05-01 23:35:39,2026-05-01 23:35:39,auth_db,2026-05-01 23:35:39
usr_ef8c485b,BARNESBRANDY@EXAMPLE.NET,(543) 534-6247,Charles,Ellis,active,2026-05-01 05:56:57,2026-05-01 05:56:57,auth_db,2026-05-01 05:56:57
usr_ce9e1a11,jonesjason@example.com,(251) 354-2784,Destiny,Smith,active,2026-05-01 11:48:24,2026-05-01 11:48:24,auth_db,2026-05-01 11:48:24
usr_439472e6,sarah12@example.com,(118) 244-9353,William,King,active,2026-05-01 01:10:07,2026-05-01 01:10:07,auth_db,2026-05-01 01:10:07
usr_f1eedba3,davisrodney@example.com,+1-005-242-7868,Nicole,Mckee,active,2026-05-01 07:40:53,2026-05-01 07:40:53,auth_db,2026-05-01 07:40:53
usr_e256a6dc,davenportbrandi@example.org,620.450.5331,Nancy,Dickson,active,2026-05-01 07:44:29,2026-05-01 07:44:29,auth_db,2026-05-01 07:44:29
usr_dbccc477,sarayoung@example.org,2602563421,Thomas,Gonzalez,active,2026-05-01 05:12:06,2026-05-01 05:12:06,auth_db,2026-05-01 05:12:06
usr_d7fa2d8d,ybailey@example.org,303.654.1458,Amanda,Crosby,suspended,2026-05-01 21:17:02,2026-05-07 23:00:00,auth_db,2026-05-07 23:00:00
